objectid,identifier,filename,publication,location,date,month_str,month_int,day,year,format,notes,collection
SB_Tribune_September_3_1903_jpg,SB_Tribune_September_3_1903_jpg,SB_Tribune_September_3_1903.jpg,South Bend Tribune,"South Bend, Indiana, US",03/09/1903,September,09,03,1903,image/jpeg,,South Bend Tribune
SB_Tribune_April_14_1903_jpg,SB_Tribune_April_14_1903_jpg,SB_Tribune_April_14_1903.jpg,South Bend Tribune,"South Bend, Indiana, US",14/04/1903,April,04,14,1903,image/jpeg,,South Bend Tribune
SB_Tribune_December_27_1904_jpg,SB_Tribune_December_27_1904_jpg,SB_Tribune_December_27_1904.jpg,South Bend Tribune,"South Bend, Indiana, US",27/12/1904,December,12,27,1904,image/jpeg,,South Bend Tribune
SB_Tribune_January_12_1904_jpg,SB_Tribune_January_12_1904_jpg,SB_Tribune_January_12_1904.jpg,South Bend Tribune,"South Bend, Indiana, US",12/01/1904,January,01,12,1904,image/jpeg,,South Bend Tribune
SB_Tribune_January_5_1904_jpg,SB_Tribune_January_5_1904_jpg,SB_Tribune_January_5_1904.jpg,South Bend Tribune,"South Bend, Indiana, US",05/01/1904,January,01,05,1904,image/jpeg,,South Bend Tribune
SB_Tribune_July_14_1903_jpg,SB_Tribune_July_14_1903_jpg,SB_Tribune_July_14_1903.jpg,South Bend Tribune,"South Bend, Indiana, US",14/07/1903,July,07,14,1903,image/jpeg,,South Bend Tribune
SB_Tribune_June_2_1903_jpg,SB_Tribune_June_2_1903_jpg,SB_Tribune_June_2_1903.jpg,South Bend Tribune,"South Bend, Indiana, US",02/06/1903,June,06,02,1903,image/jpeg,,South Bend Tribune
SB_Tribune_June_30_1903_jpg,SB_Tribune_June_30_1903_jpg,SB_Tribune_June_30_1903.jpg,South Bend Tribune,"South Bend, Indiana, US",30/06/1903,June,06,30,1903,image/jpeg,,South Bend Tribune
SB_Tribune_March_31_1903_(1)_jpg,SB_Tribune_March_31_1903_(1)_jpg,SB_Tribune_March_31_1903_(1).jpg,South Bend Tribune,"South Bend, Indiana, US",31/03/1903,March,03,31,1903,image/jpeg,,South Bend Tribune
SB_Tribune_March_31_1903_jpg,SB_Tribune_March_31_1903_jpg,SB_Tribune_March_31_1903.jpg,South Bend Tribune,"South Bend, Indiana, US",31/03/1903,March,03,31,1903,image/jpeg,,South Bend Tribune
SB_Tribune_May_31_1904_jpg,SB_Tribune_May_31_1904_jpg,SB_Tribune_May_31_1904.jpg,South Bend Tribune,"South Bend, Indiana, US",31/05/1904,May,05,31,1904,image/jpeg,,South Bend Tribune
SB_Tribune_May_3_1904_jpg,SB_Tribune_May_3_1904_jpg,SB_Tribune_May_3_1904.jpg,South Bend Tribune,"South Bend, Indiana, US",03/05/1904,May,05,03,1904,image/jpeg,,South Bend Tribune
SB_Tribune_November_15_1904_jpg,SB_Tribune_November_15_1904_jpg,SB_Tribune_November_15_1904.jpg,South Bend Tribune,"South Bend, Indiana, US",15/11/1904,November,11,15,1904,image/jpeg,,South Bend Tribune
SB_Tribune_October_6_1903_jpg,SB_Tribune_October_6_1903_jpg,SB_Tribune_October_6_1903.jpg,South Bend Tribune,"South Bend, Indiana, US",06/10/1903,October,10,06,1903,image/jpeg,,South Bend Tribune
SB_Tribune_September_15_1903_jpg,SB_Tribune_September_15_1903_jpg,SB_Tribune_September_15_1903.jpg,South Bend Tribune,"South Bend, Indiana, US",15/09/1903,September,09,15,1903,image/jpeg,,South Bend Tribune
SB_Tribune_September_20_1904_jpg,SB_Tribune_September_20_1904_jpg,SB_Tribune_September_20_1904.jpg,South Bend Tribune,"South Bend, Indiana, US",20/09/1904,September,09,20,1904,image/jpeg,,South Bend Tribune
SB_Tribune_September_8_1903_jpg,SB_Tribune_September_8_1903_jpg,SB_Tribune_September_8_1903.jpg,South Bend Tribune,"South Bend, Indiana, US",08/09/1903,September,09,08,1903,image/jpeg,,South Bend Tribune
SB_Tribune_April_13_1904_jpg,SB_Tribune_April_13_1904_jpg,SB_Tribune_April_13_1904.jpg,South Bend Tribune,"South Bend, Indiana, US",13/04/1904,April,04,13,1904,image/jpeg,,South Bend Tribune
SB_Tribune_April_15_1903_jpg,SB_Tribune_April_15_1903_jpg,SB_Tribune_April_15_1903.jpg,South Bend Tribune,"South Bend, Indiana, US",15/04/1903,April,04,15,1903,image/jpeg,,South Bend Tribune
SB_Tribune_August_17_1904_jpg,SB_Tribune_August_17_1904_jpg,SB_Tribune_August_17_1904.jpg,South Bend Tribune,"South Bend, Indiana, US",17/08/1904,August,08,17,1904,image/jpeg,,South Bend Tribune
SB_Tribune_December_8_1909_jpg,SB_Tribune_December_8_1909_jpg,SB_Tribune_December_8_1909.jpg,South Bend Tribune,"South Bend, Indiana, US",08/12/1909,December,12,08,1909,image/jpeg,,South Bend Tribune
SB_Tribune_January_11_1905_jpg,SB_Tribune_January_11_1905_jpg,SB_Tribune_January_11_1905.jpg,South Bend Tribune,"South Bend, Indiana, US",11/01/1905,January,01,11,1905,image/jpeg,,South Bend Tribune
SB_Tribune_January_13_1904_jpg,SB_Tribune_January_13_1904_jpg,SB_Tribune_January_13_1904.jpg,South Bend Tribune,"South Bend, Indiana, US",13/01/1904,January,01,13,1904,image/jpeg,,South Bend Tribune
SB_Tribune_January_27_1904_jpg,SB_Tribune_January_27_1904_jpg,SB_Tribune_January_27_1904.jpg,South Bend Tribune,"South Bend, Indiana, US",27/01/1904,January,01,27,1904,image/jpeg,,South Bend Tribune
SB_Tribune_January_6_1904_jpg,SB_Tribune_January_6_1904_jpg,SB_Tribune_January_6_1904.jpg,South Bend Tribune,"South Bend, Indiana, US",06/01/1904,January,01,06,1904,image/jpeg,,South Bend Tribune
SB_Tribune_July_3_1991_jpg,SB_Tribune_July_3_1991_jpg,SB_Tribune_July_3_1991.jpg,South Bend Tribune,"South Bend, Indiana, US",03/07/1991,July,07,03,1991,image/jpeg,,South Bend Tribune
SB_Tribune_June_15_1904_jpg,SB_Tribune_June_15_1904_jpg,SB_Tribune_June_15_1904.jpg,South Bend Tribune,"South Bend, Indiana, US",15/06/1904,June,06,15,1904,image/jpeg,,South Bend Tribune
SB_Tribune_June_17_1903_jpg,SB_Tribune_June_17_1903_jpg,SB_Tribune_June_17_1903.jpg,South Bend Tribune,"South Bend, Indiana, US",17/06/1903,June,06,17,1903,image/jpeg,,South Bend Tribune
SB_Tribune_March_25_1903_jpg,SB_Tribune_March_25_1903_jpg,SB_Tribune_March_25_1903.jpg,South Bend Tribune,"South Bend, Indiana, US",25/03/1903,March,03,25,1903,image/jpeg,,South Bend Tribune
SB_Tribune_May_27_1903_(1)_jpg,SB_Tribune_May_27_1903_(1)_jpg,SB_Tribune_May_27_1903_(1).jpg,South Bend Tribune,"South Bend, Indiana, US",27/05/1903,May,05,27,1903,image/jpeg,,South Bend Tribune
SB_Tribune_May_27_1903_jpg,SB_Tribune_May_27_1903_jpg,SB_Tribune_May_27_1903.jpg,South Bend Tribune,"South Bend, Indiana, US",27/05/1903,May,05,27,1903,image/jpeg,,South Bend Tribune
SB_Tribune_November_23_1904_jpg,SB_Tribune_November_23_1904_jpg,SB_Tribune_November_23_1904.jpg,South Bend Tribune,"South Bend, Indiana, US",23/11/1904,November,11,23,1904,image/jpeg,,South Bend Tribune
SB_Tribune_October_28_1903_jpg,SB_Tribune_October_28_1903_jpg,SB_Tribune_October_28_1903.jpg,South Bend Tribune,"South Bend, Indiana, US",28/10/1903,October,10,28,1903,image/jpeg,,South Bend Tribune
SB_Tribune_October_4_1995_jpg,SB_Tribune_October_4_1995_jpg,SB_Tribune_October_4_1995.jpg,South Bend Tribune,"South Bend, Indiana, US",04/10/1995,October,10,04,1995,image/jpeg,,South Bend Tribune
SB_Tribune_October_5_1904_jpg,SB_Tribune_October_5_1904_jpg,SB_Tribune_October_5_1904.jpg,South Bend Tribune,"South Bend, Indiana, US",05/10/1904,October,10,05,1904,image/jpeg,,South Bend Tribune
SB_Tribune_October_7_1903_jpg,SB_Tribune_October_7_1903_jpg,SB_Tribune_October_7_1903.jpg,South Bend Tribune,"South Bend, Indiana, US",07/10/1903,October,10,07,1903,image/jpeg,,South Bend Tribune
SB_Tribune_September_16_1903_jpg,SB_Tribune_September_16_1903_jpg,SB_Tribune_September_16_1903.jpg,South Bend Tribune,"South Bend, Indiana, US",16/09/1903,September,09,16,1903,image/jpeg,,South Bend Tribune
SB_Tribune_September_30_1903_jpg,SB_Tribune_September_30_1903_jpg,SB_Tribune_September_30_1903.jpg,South Bend Tribune,"South Bend, Indiana, US",30/09/1903,September,09,30,1903,image/jpeg,,South Bend Tribune
SB_Tribune_June_21_1904_jpg,SB_Tribune_June_21_1904_jpg,SB_Tribune_June_21_1904.jpg,South Bend Tribune,"South Bend, Indiana, US",21/06/1904,June,06,21,1904,image/jpeg,,South Bend Tribune
